0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,226,149,936,2,-10,0,-803,-179,-504,10607,-610,-2199,-12276,46343,126,
0,226,149,937,6,3,1,-803,-179,-504,10607,-611,-2200,-12276,46363,127,
0,229,146,935,1,-8,1,-809,-179,-504,10607,-611,-2200,-12276,46383,128,
0,229,153,926,6,-9,0,-809,-179,-504,10607,-611,-2200,-12276,46403,129,
0,233,153,928,-1,-5,-3,-809,-179,-504,10607,-611,-2200,-12276,46423,130,
0,227,147,930,-16,20,-4,-796,-184,-484,10607,-612,-2199,-12277,46443,131,
0,225,148,926,-12,-3,-2,-796,-184,-484,10607,-611,-2197,-12277,46463,132,
0,234,147,941,-5,-1,1,-816,-196,-504,10607,-613,-2196,-12277,46483,133,
0,233,149,936,-5,-8,0,-816,-196,-504,10607,-613,-2196,-12277,46503,134,
0,232,146,935,3,-8,0,-816,-196,-504,10607,-615,-2197,-12277,46523,135,
0,229,147,937,7,8,-8,-816,-184,-516,10607,-615,-2197,-12277,46543,136,
0,226,146,936,5,2,-6,-816,-184,-516,10607,-614,-2196,-12277,46563,137,
0,227,149,932,6,-4,-1,-803,-179,-491,10607,-614,-2196,-12277,46583,138,
0,223,148,928,1,2,-2,-803,-179,-491,10607,-614,-2196,-12277,46603,139,
0,224,150,931,4,0,2,-803,-179,-491,10607,-614,-2196,-12277,46623,140,
0,228,148,932,2,-1,3,-803,-172,-478,10607,-614,-2196,-12277,46643,141,
0,231,150,931,0,-2,4,-803,-172,-478,10607,-614,-2196,-12277,46663,142,
0,235,152,932,4,1,4,-796,-179,-504,10607,-614,-2196,-12277,46683,143,
0,237,149,929,-5,1,-1,-796,-179,-504,10607,-614,-2196,-12277,46703,144,
0,234,150,932,-4,5,-2,-796,-179,-504,10607,-614,-2196,-12277,46723,145,
0,230,150,932,4,-3,-3,-803,-179,-504,10607,-614,-2196,-12277,46743,146,
0,229,150,934,5,-6,-5,-803,-179,-504,10607,-614,-2196,-12277,46763,147,
0,229,149,935,3,2,-2,-809,-190,-497,10607,-613,-2197,-12277,46783,148,
0,226,149,932,-8,0,0,-809,-190,-497,10607,-613,-2197,-12277,46803,149,
0,227,149,934,0,7,-3,-809,-190,-497,10607,-613,-2197,-12277,46823,150,
0,227,146,936,-13,1,1,-803,-166,-497,10607,-614,-2196,-12277,46843,151,
0,227,148,930,0,-7,-2,-803,-166,-497,10607,-615,-2195,-12277,46863,152,
0,227,149,935,0,5,1,-849,-190,-510,10607,-615,-2195,-12277,46883,153,
0,230,146,930,5,-11,1,-849,-190,-510,10607,-615,-2195,-12277,46903,154,
0,231,146,935,-5,0,1,-849,-190,-510,10607,-615,-2196,-12277,46923,155,
0,230,150,936,3,1,-2,-816,-172,-510,10607,-615,-2196,-12277,46943,156,
0,232,150,935,-2,-6,1,-816,-172,-510,10607,-615,-2196,-12277,46963,157,
0,228,149,936,4,0,-2,-803,-179,-497,10607,-615,-2196,-12277,46983,158,
0,231,149,931,6,-9,0,-803,-179,-497,10607,-615,-2196,-12277,47003,159,
0,229,147,932,0,-6,3,-803,-179,-497,10607,-615,-2196,-12277,47023,160,
0,235,149,935,5,0,-1,-803,-172,-484,10607,-615,-2196,-12277,47043,161,
0,232,150,933,-1,2,-1,-803,-172,-484,10607,-615,-2196,-12277,47063,162,
0,228,149,931,2,-2,-4,-803,-184,-516,10607,-615,-2196,-12277,47083,163,
0,232,149,932,2,-1,-2,-803,-184,-516,10607,-615,-2196,-12277,47103,164,
0,229,149,934,1,1,0,-803,-184,-516,10607,-615,-2196,-12277,47123,165,
0,231,149,932,1,-1,2,-809,-179,-497,10607,-615,-2196,-12277,47143,166,
0,228,149,933,-1,1,-2,-809,-179,-497,10607,-615,-2196,-12277,47163,167,
0,230,150,936,5,0,-2,-796,-203,-497,10607,-615,-2196,-12277,47183,168,
0,231,147,932,-4,1,-3,-796,-203,-497,10607,-615,-2196,-12277,47203,169,
0,228,148,936,2,4,-5,-796,-203,-497,10607,-615,-2196,-12277,47223,170,
0,229,149,932,-1,-2,-4,-796,-172,-497,10607,-615,-2196,-12277,47243,171,
0,226,148,933,1,11,-5,-796,-172,-497,10607,-615,-2196,-12277,47263,172,
0,225,149,933,0,1,0,-820,-196,-484,10607,-615,-2195,-12277,47283,173,
0,228,148,931,1,1,-1,-820,-196,-484,10607,-615,-2195,-12277,47303,174,
0,228,148,934,-7,6,1,-820,-196,-484,10607,-615,-2195,-12277,47323,175,
0,234,148,933,4,-7,1,-803,-196,-504,10607,-615,-2195,-12277,47343,176,
0,236,152,926,4,-6,2,-803,-196,-504,10607,-615,-2195,-12277,47363,177,
0,234,149,933,-9,2,1,-803,-166,-504,10607,-615,-2195,-12277,47383,178,
0,230,148,926,-11,-1,-1,-803,-166,-504,10607,-615,-2194,-12277,47403,179,
0,226,151,929,-12,5,-1,-803,-166,-504,10607,-616,-2194,-12278,47423,180,
0,231,147,937,-9,0,-1,-785,-166,-491,10607,-618,-2192,-12278,47442,181,
0,231,146,938,-2,-17,2,-785,-166,-491,10607,-618,-2192,-12278,47463,182,
0,232,146,931,5,-10,-2,-816,-196,-491,10606,-620,-2194,-12278,47483,183,
0,214,145,909,-9,-3,-2,-816,-196,-491,10606,-621,-2194,-12278,47503,184,
0,240,147,940,-15,-24,0,-816,-196,-491,10606,-625,-2196,-12278,47524,185,
0,221,147,932,-13,20,2,-803,-172,-504,10606,-625,-2194,-12278,47542,186,
0,237,142,936,11,-17,1,-803,-172,-504,10606,-628,-2193,-12278,47563,187,
0,223,146,943,-16,16,2,-803,-184,-491,10606,-626,-2194,-12278,47583,188,
0,232,149,931,20,-19,3,-803,-184,-491,10606,-626,-2192,-12278,47603,189,
0,238,153,932,-1,-5,1,-803,-184,-491,10605,-626,-2197,-12278,47624,190,
0,235,146,934,1,5,1,-792,-179,-504,10605,-627,-2196,-12278,47643,191,
0,237,149,931,2,-4,-2,-792,-179,-504,10605,-626,-2197,-12278,47663,192,
0,227,148,935,-6,10,-1,-796,-179,-497,10605,-626,-2197,-12278,47683,193,
0,231,148,935,3,-1,0,-796,-179,-497,10606,-625,-2196,-12278,47703,194,
0,229,147,937,1,3,0,-796,-179,-497,10606,-625,-2196,-12278,47724,195,
0,228,145,936,1,-1,0,-792,-172,-504,10606,-625,-2196,-12278,47743,196,
0,231,146,931,-3,0,1,-792,-172,-504,10606,-625,-2196,-12278,47763,197,
0,233,148,933,-1,-2,2,-803,-166,-491,10606,-625,-2196,-12278,47783,198,
0,232,144,930,-12,-3,4,-803,-166,-491,10606,-625,-2196,-12278,47803,199,
0,232,146,933,-8,5,-2,-803,-166,-491,10606,-627,-2194,-12278,47824,200,
0,231,148,939,-1,0,-1,-803,-172,-497,10606,-627,-2194,-12278,47843,201,
0,232,145,931,4,-3,-1,-803,-172,-497,10606,-627,-2194,-12278,47863,202,
0,232,148,934,0,-7,-1,-816,-172,-516,10606,-627,-2194,-12278,47883,203,
0,230,148,929,2,2,-1,-816,-172,-516,10606,-627,-2194,-12278,47903,204,
0,230,146,933,-5,-3,1,-816,-172,-516,10606,-627,-2194,-12278,47924,205,
0,230,147,933,0,0,0,-796,-172,-497,10606,-627,-2194,-12278,47943,206,
0,231,149,933,-3,-4,1,-796,-172,-497,10606,-627,-2194,-12278,47963,207,
0,233,147,934,-1,-3,3,-809,-160,-504,10606,-627,-2194,-12278,47983,208,
0,231,145,931,-5,-1,2,-809,-160,-504,10606,-627,-2194,-12278,48003,209,
0,232,145,935,10,-2,-1,-809,-160,-504,10606,-627,-2194,-12278,48024,210,
0,233,148,933,-7,-4,-1,-796,-190,-510,10606,-626,-2195,-12278,48043,211,
0,232,145,933,3,-1,-4,-796,-190,-510,10606,-626,-2195,-12278,48063,212,
0,230,151,935,8,4,0,-803,-179,-516,10606,-625,-2196,-12278,48083,213,
