% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Simple pickup of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
318 395 -48 558 36 21 393 -506 -552 -539 0 0 
319 396 -45 558 24 17 392 -498 -553 -545 0 0 
320 398 -42 554 26 14 377 -498 -553 -548 0 0 
321 398 -44 553 14 1 368 -506 -550 -547 0 0 
322 402 -38 553 16 -13 366 -514 -546 -543 0 0 
323 402 -40 550 23 -18 366 -524 -544 -532 0 0 
324 404 -42 549 28 -7 365 -532 -541 -522 0 0 
325 406 -53 548 31 4 368 -533 -542 -516 0 0 
326 405 -47 550 50 26 382 -531 -544 -515 0 0 
327 406 -49 548 52 27 387 -527 -546 -516 0 0 
328 406 -50 543 50 26 387 -524 -549 -518 0 0 
329 412 -48 540 39 22 375 -523 -550 -518 0 0 
330 410 -56 538 34 19 368 -524 -549 -519 0 0 
331 413 -55 538 27 14 361 -524 -549 -519 0 0 
332 416 -60 537 21 7 354 -524 -549 -519 0 0 
333 415 -59 535 18 -3 347 -524 -549 -521 0 0 
334 418 -59 534 1 -12 343 -521 -546 -525 0 0 
335 419 -59 533 4 -16 342 -515 -546 -528 0 0 
336 421 -64 531 16 -35 344 -515 -546 -524 0 0 
337 424 -61 531 23 -29 341 -515 -546 -521 0 0 
338 422 -62 530 26 -25 344 -521 -546 -516 0 0 
339 421 -65 526 29 -24 355 -524 -546 -513 0 0 
340 422 -67 526 38 -22 363 -525 -547 -511 0 0 
341 427 -65 524 43 -17 366 -523 -550 -509 0 0 
342 425 -68 522 39 -3 363 -518 -551 -513 0 0 
343 427 -69 520 38 -1 358 -511 -552 -517 0 0 
344 430 -65 520 35 -2 352 -505 -552 -520 0 0 
345 429 -64 518 17 -10 344 -504 -548 -523 0 0 
346 431 -66 515 32 -9 344 -504 -545 -530 0 0 
347 429 -65 516 29 -16 344 -506 -543 -529 0 0 
348 431 -63 516 24 -18 340 -511 -540 -531 0 0 
349 430 -68 516 23 -24 339 -512 -538 -532 0 0 
350 430 -64 515 28 -25 336 -511 -537 -533 0 0 
351 434 -65 517 28 -26 336 -512 -536 -534 0 0 
352 434 -57 517 26 -34 329 -513 -535 -531 0 0 
353 434 -63 515 34 -33 328 -515 -535 -526 0 0 
354 432 -60 516 39 -37 330 -516 -534 -521 0 0 
355 431 -65 516 41 -34 337 -516 -534 -515 0 0 
356 431 -69 517 35 -26 336 -515 -535 -512 0 0 
357 431 -62 516 36 -22 334 -514 -533 -510 0 0 
358 430 -70 518 34 -22 345 -515 -526 -511 0 0 
359 428 -72 519 30 -22 352 -513 -521 -513 0 0 
360 426 -70 519 28 -25 351 -513 -512 -515 0 0 
361 418 -68 523 28 -24 353 -513 -507 -522 0 0 
362 417 -68 528 22 -30 349 -519 -507 -522 0 0 
363 412 -68 528 19 -35 344 -522 -509 -522 0 0 
364 412 -68 530 16 -35 338 -521 -513 -524 0 0 
365 410 -70 530 7 -38 326 -522 -516 -528 0 0 
366 408 -68 532 2 -44 327 -522 -521 -531 0 0 
367 404 -72 532 4 -53 327 -523 -519 -532 0 0 
368 404 -78 536 5 -62 333 -525 -514 -532 0 0 
369 401 -76 537 8 -68 328 -520 -511 -530 0 0 
370 399 -78 538 8 -64 336 -517 -510 -527 0 0 
371 394 -76 540 8 -57 334 -518 -513 -525 0 0 
372 393 -75 539 9 -54 330 -513 -523 -523 0 0 
373 393 -74 538 6 -47 329 -511 -539 -522 0 0 
374 396 -80 537 1 -41 317 -513 -542 -525 0 0 
375 394 -72 536 -4 -46 323 -512 -539 -525 0 0 
376 394 -74 539 -5 -49 321 -515 -538 -526 0 0 
377 393 -72 539 0 -47 318 -518 -538 -525 0 0 
378 397 -71 539 1 -44 319 -521 -536 -524 0 0 
379 395 -69 539 1 -39 318 -523 -535 -524 0 0 
380 396 -74 538 -1 -34 315 -526 -533 -524 0 0 
381 394 -77 536 -1 -24 320 -524 -531 -528 0 0 
382 393 -81 537 10 -33 329 -522 -532 -528 0 0 
383 394 -73 536 10 -46 331 -523 -534 -525 0 0 
384 393 -79 536 2 -55 335 -524 -534 -523 0 0 
385 395 -83 537 -2 -54 333 -524 -533 -522 0 0 
386 392 -82 538 -3 -52 333 -524 -533 -524 0 0 
387 393 -86 536 1 -50 333 -522 -534 -525 0 0 
388 393 -81 538 1 -46 334 -520 -534 -526 0 0 
389 393 -82 537 3 -41 336 -516 -534 -529 0 0 
390 394 -84 537 5 -48 338 -513 -535 -530 0 0 
391 391 -86 536 5 -49 339 -511 -536 -530 0 0 
392 391 -86 539 3 -46 338 -513 -535 -529 0 0 
393 392 -82 537 3 -42 338 -515 -533 -529 0 0 
394 392 -84 538 6 -43 341 -518 -532 -529 0 0 
395 392 -84 537 7 -42 341 -521 -532 -529 0 0 
396 389 -89 537 8 -41 342 -524 -532 -527 0 0 
397 392 -90 535 12 -41 343 -526 -532 -526 0 0 
398 395 -92 535 12 -35 342 -527 -532 -526 0 0 
399 392 -92 539 12 -31 339 -527 -533 -526 0 0 
400 390 -93 535 12 -25 337 -523 -533 -527 0 0 
401 388 -91 538 11 -24 337 -522 -533 -528 0 0 
402 387 -91 536 10 -23 339 -519 -532 -530 0 0 
403 388 -94 538 12 -30 346 -517 -532 -531 0 0 
404 388 -91 538 14 -34 350 -515 -532 -532 0 0 
405 387 -90 538 13 -38 349 -515 -532 -531 0 0 
406 388 -90 539 13 -40 351 -515 -532 -531 0 0 
407 388 -88 538 14 -41 350 -517 -534 -532 0 0 
408 387 -83 539 14 -46 351 -517 -533 -532 0 0 
409 385 -88 540 13 -41 345 -518 -532 -531 0 0 
410 387 -92 538 13 -37 343 -521 -532 -530 0 0 
411 387 -87 538 15 -40 344 -523 -532 -529 0 0 
412 388 -95 539 16 -40 345 -524 -531 -527 0 0 
413 389 -97 538 17 -30 348 -523 -533 -526 0 0 
414 384 -92 537 18 -25 352 -521 -533 -526 0 0 
415 389 -102 537 19 -23 353 -519 -533 -527 0 0 
416 385 -105 538 19 -28 358 -517 -533 -526 0 0 
417 385 -104 538 18 -30 360 -515 -534 -529 0 0 
418 386 -98 536 17 -32 357 -515 -534 -529 0 0 
419 386 -91 540 16 -36 352 -516 -533 -529 0 0 
420 383 -92 539 16 -38 351 -517 -533 -529 0 0 
421 383 -103 539 17 -36 350 -518 -533 -529 0 0 
422 389 -96 538 17 -34 351 -519 -532 -529 0 0 
423 384 -103 539 17 -32 350 -519 -532 -529 0 0 
424 385 -100 538 16 -32 351 -519 -531 -529 0 0 
425 384 -101 539 15 -35 355 -520 -531 -529 0 0 
426 382 -100 540 16 -37 359 -520 -532 -529 0 0 
427 388 -98 538 16 -40 360 -519 -533 -529 0 0 
428 386 -110 538 16 -46 358 -516 -535 -529 0 0 
429 383 -100 539 11 -51 354 -516 -535 -528 0 0 
430 381 -105 538 9 -49 349 -517 -535 -528 0 0 
431 383 -99 538 9 -48 345 -518 -535 -528 0 0 
432 384 -105 537 11 -44 347 -519 -535 -528 0 0 
433 381 -108 538 12 -44 351 -520 -534 -529 0 0 
434 382 -101 539 12 -45 354 -521 -534 -528 0 0 
435 385 -104 539 13 -44 358 -522 -534 -529 0 0 
436 383 -99 538 13 -41 354 -521 -535 -529 0 0 
437 384 -106 537 14 -38 350 -521 -535 -530 0 0 
438 388 -105 538 14 -38 346 -521 -534 -531 0 0 
439 383 -114 539 15 -37 346 -521 -534 -530 0 0 
440 381 -111 538 15 -36 346 -520 -534 -531 0 0 
441 382 -109 536 17 -42 352 -519 -533 -532 0 0 
442 382 -111 537 21 -47 353 -517 -535 -530 0 0 
443 382 -114 537 17 -42 351 -517 -535 -530 0 0 
444 383 -111 538 15 -40 350 -517 -535 -530 0 0 

% Total Sample Count = 444.
% Sample Count Used for mean/std calculations = 444.

%                                  MagX     MagY     MagZ     AccX     AccY     AccZ     % GyroR   GyroP    GyroY  LButton  RButton
